company_name,job_title,location,pub_date,salary
北京三六九数动科技有限公司,Ruby开发工程师,北京-朝阳区,03-31,2.5-3万/月
北京友聚四海网络科技有限公司,Ruby开发工程师,北京-朝阳区,03-31,2.5-3万/月
南京功夫豆信息科技有限公司,Ruby开发工程师,南京,03-31,1-2万/月
浙江省公众信息产业有限公司无线运营分公司,Ruby开发工程师,杭州-西湖区,03-31,1.5-2万/月
道更信息技术（上海）有限公司,Ruby开发工程师,上海-长宁区,03-31,1-1.2万/月
广州诺特软件开发有限公司,高级Ruby on Rails 开发工程师,广州-越秀区,03-31,0.8-1万/月
重庆盛海科技发展有限公司,ruby研发工程师,重庆-南岸区,03-31,0.8-1万/月
上海旺田信息技术有限公司,Ruby开发工程师,上海-浦东新区,03-31,1.2-2万/月
杭州优灿科技有限公司,(H)ruby开发工程师,杭州-滨江区,03-31,1-2.5万/月
网易集团,Ruby开发工程师,上海,03-31,1.5-2万/月
上海骏众网络科技有限公司,Ruby游戏服务器研发工程师,上海-黄浦区,03-30,1.5-2万/月
北京凡影科技有限公司,Ruby开发工程师,北京-朝阳区,03-30,1.5-2万/月
福建网龙计算机网络信息技术有限公司,软件开发工程师（ruby）,成都,03-27,1-2万/月
上海紫越网络科技股份有限公司,Ruby开发工程师,上海-静安区,03-27,1.5-2.6万/月
浙江乐檬信息技术有限公司,Ruby软件工程师,宁波,03-27,0.8-1.2万/月
迈思腾科技（武汉）有限公司,ruby开发工程师,武汉,03-26,0.8-1万/月
成都我行我数科技有限公司,Ruby/Rails 开发工程师,上海-杨浦区,03-26,0.8-2万/月
上海中中龙达智能科技有限公司,Ruby软件工程师,上海-徐汇区,03-25,1-3万/月
深圳价之链跨境电商有限公司,Ruby开发工程师,深圳,03-25,1.5-2.5万/月
上海细胞治疗集团有限公司,Ruby On Rail 软件工程师,上海,03-24,1-1.8万/月
南昌高亚科技有限公司,Ruby软件工程师,南昌,03-24,3.5-6.5千/月
米斯特奥福（大连）咨询服务有限公司,java PHP Ruby,大连-高新园区,03-23,40-50万/年
百佬汇跨境电商（深圳）有限公司,Ruby开发工程师,深圳-龙岗区,03-22,1.5-2.5万/月
北京政通仁和建材有限公司,java PHP Ruby,上海-浦东新区,03-20,40-50万/年
深圳市伊欧乐科技有限公司,Ruby中级工程师,深圳-宝安区,03-18,1-1.5万/月
互联网域名系统北京市工程研究中心有限公司,Ruby开发工程师,北京-海淀区,03-17,1.5-2.5万/月
南京功夫豆信息科技有限公司,Ruby软件工程师,南京,03-16,无
深圳合生网络科技有限公司,Ruby开发工程师,上海-浦东新区,03-09,1.1-2万/月
维沃（深圳）物联网科技有限公司,Ruby on Rails 开发,深圳-龙岗区,03-08,1-2万/月
上海迈坦信息科技有限公司,Ruby后端开发工程师,上海-闵行区,03-04,1.5-3万/月
万宝盛华企业管理咨询（上海）有限公司,Ruby开发工程师,北京-海淀区,03-02,1.5-2.5万/月
北京瑞达恒建筑咨询有限公司,Ruby开发工程师,北京-西城区,02-26,1-1.5万/月
中邮智递科技有限公司研发事业部,Ruby开发工程师,成都-金牛区,02-23,1.5-2.5万/月
西安长城数字软件有限公司,ruby开发工程师,西安-长安区,02-16,0.8-1万/月
开源中国,ruby实习开发工程师,深圳-南山区,02-14,3-4.5千/月
广州市红宝服饰有限公司,电商运营专员（大小周休+社保+餐补）,广州-白云区,03-31,0.4-1.2万/月
深圳市腾讯计算机系统有限公司,30628-腾讯广告高级系统测试工程师（北京）,北京,03-31,无
广州市安鸿网络科技有限公司,渗透测试工程师,深圳-罗湖区,03-31,1.5-2万/月
天阳宏业科技股份有限公司,Web前端开发工程师,深圳-福田区,03-31,1-1.5万/月
兰州冠云科技发展有限公司,Java开发工程师,苏州-工业园区,03-31,0.7-1.2万/月
上海华泰软件工程有限公司,C/C++开发（R&D）,上海-浦东新区,03-31,0.8-1.3万/月
融联易云金融信息服务（北京）有限公司,云计算售前技术支持及解决方案岗,北京-海淀区,03-31,1.5-3万/月
上海巨视安全防范技术有限公司,软件 工程师,上海-浦东新区,03-31,10-12万/月
博克软件（杭州）有限公司,软件开发实习生 (面向2020年毕业生),杭州-滨江区,03-31,3-4.5千/月
无锡飞谱电子信息技术有限公司,高级软件测试工程师,无锡-无锡新区,03-31,0.5-1万/月
武汉海云健康科技股份有限公司,前端工程师,武汉-洪山区,03-31,0.8-1.2万/月
银盛科技服务集团有限公司,高级软件测试工程师（性能）,深圳-龙华新区,03-31,1.2-2万/月
